,Date,pm25
0,04-02-2019 19:00,70.52
1,04-02-2019 20:00,61.39
2,04-02-2019 21:00,59.94
3,04-02-2019 22:00,76.44
4,04-02-2019 23:00,98.54
5,05-02-2019 00:00,100.94
6,05-02-2019 01:00,96.25
7,05-02-2019 02:00,101.27
8,05-02-2019 03:00,103.88
9,05-02-2019 04:00,114.56
10,05-02-2019 05:00,108.15
11,05-02-2019 06:00,102.58
12,05-02-2019 07:00,92.91
13,05-02-2019 08:00,97.26
14,05-02-2019 09:00,103.24
15,05-02-2019 10:00,110.72
16,05-02-2019 11:00,99.94
17,05-02-2019 12:00,96.22
18,05-02-2019 13:00,95.22
19,05-02-2019 14:00,77.2
20,05-02-2019 15:00,63.91
21,05-02-2019 16:00,66.57
22,05-02-2019 17:00,69.14
23,05-02-2019 18:00,67.76
24,05-02-2019 19:00,69.69
25,05-02-2019 20:00,71.88
26,05-02-2019 21:00,64.14
27,05-02-2019 22:00,72.33
28,05-02-2019 23:00,85.9
29,06-02-2019 00:00,93.98
30,06-02-2019 01:00,88.85
31,06-02-2019 02:00,89.66
32,06-02-2019 03:00,100.79
33,06-02-2019 04:00,100.01
34,06-02-2019 05:00,106.37
35,06-02-2019 06:00,114.35
36,06-02-2019 07:00,111.24
37,06-02-2019 08:00,116.78
38,06-02-2019 09:00,144.8
39,06-02-2019 10:00,128.86
40,06-02-2019 11:00,98.88
41,06-02-2019 12:00,67.69
42,06-02-2019 13:00,48.81
43,06-02-2019 14:00,46.62
44,06-02-2019 15:00,46.14
45,06-02-2019 16:00,40.34
46,06-02-2019 17:00,38.54
47,06-02-2019 18:00,32.1
48,06-02-2019 19:00,33.68
49,06-02-2019 20:00,42.98
50,06-02-2019 21:00,60.62
51,06-02-2019 22:00,74.78
52,06-02-2019 23:00,76.84
53,07-02-2019 00:00,70.71
54,07-02-2019 01:00,65.44
55,07-02-2019 02:00,67.26
56,07-02-2019 03:00,56.58
57,07-02-2019 04:00,50.32
58,07-02-2019 05:00,41.5
59,07-02-2019 06:00,42.39
60,07-02-2019 07:00,42.64
61,07-02-2019 08:00,37.25
62,07-02-2019 09:00,44.06
63,07-02-2019 10:00,39.72
64,07-02-2019 11:00,37.77
65,07-02-2019 12:00,33.66
66,07-02-2019 13:00,31.28
67,07-02-2019 14:00,29.48
68,07-02-2019 15:00,34.41
69,07-02-2019 16:00,31.69
70,07-02-2019 17:00,25.86
71,07-02-2019 18:00,18.68
72,07-02-2019 19:00,15.47
73,07-02-2019 20:00,18.93
74,07-02-2019 21:00,30.95
75,07-02-2019 22:00,32.76
76,07-02-2019 23:00,54.06
77,08-02-2019 00:00,61.75
78,08-02-2019 01:00,58.1
79,08-02-2019 02:00,59.89
80,08-02-2019 03:00,62.11
81,08-02-2019 04:00,67.24
82,08-02-2019 05:00,59.35
83,08-02-2019 06:00,65.41
84,08-02-2019 07:00,68.21
85,08-02-2019 08:00,79.33
86,08-02-2019 09:00,99.28
87,08-02-2019 10:00,104.32
88,08-02-2019 11:00,103.85
89,08-02-2019 12:00,97.1
90,08-02-2019 13:00,103.31
91,08-02-2019 14:00,97.84
92,08-02-2019 15:00,92.01
93,08-02-2019 16:00,97.88
94,08-02-2019 17:00,88.42
95,08-02-2019 18:00,73.8
96,08-02-2019 19:00,79.97
97,08-02-2019 20:00,80.19
98,08-02-2019 21:00,85.33
99,08-02-2019 22:00,92.94
100,08-02-2019 23:00,100.18
101,09-02-2019 00:00,112.61
102,09-02-2019 01:00,107.79
103,09-02-2019 02:00,114.81
104,09-02-2019 03:00,116.16
105,09-02-2019 04:00,112.68
106,09-02-2019 05:00,107.27
107,09-02-2019 06:00,105.33
108,09-02-2019 07:00,90.19
109,09-02-2019 08:00,106.08
110,09-02-2019 09:00,115.53
111,09-02-2019 10:00,121.7
112,09-02-2019 11:00,115.81
113,09-02-2019 12:00,103.16
114,09-02-2019 13:00,88.27
115,09-02-2019 14:00,73.47
116,09-02-2019 15:00,76.91
117,09-02-2019 16:00,69.86
118,09-02-2019 17:00,60.9
119,09-02-2019 18:00,54.8
120,09-02-2019 19:00,53.15
121,09-02-2019 20:00,41.2
122,09-02-2019 21:00,45.11
123,09-02-2019 22:00,62.72
124,09-02-2019 23:00,57.76
125,10-02-2019 00:00,55.09
126,10-02-2019 01:00,55.32
127,10-02-2019 02:00,46.81
128,10-02-2019 03:00,43.66
129,10-02-2019 04:00,61.52
130,10-02-2019 05:00,63.89
131,10-02-2019 06:00,60.82
132,10-02-2019 07:00,62.29
133,10-02-2019 08:00,70.53
134,10-02-2019 09:00,73.09
135,10-02-2019 10:00,91.89
136,10-02-2019 11:00,87.77
137,10-02-2019 12:00,85.7
138,10-02-2019 13:00,69.74
139,10-02-2019 14:00,56.91
140,10-02-2019 15:00,57.08
141,10-02-2019 16:00,52.07
142,10-02-2019 17:00,45.82
143,10-02-2019 18:00,42.59
144,10-02-2019 19:00,52.13
145,10-02-2019 20:00,52.07
146,10-02-2019 21:00,46.53
147,10-02-2019 22:00,44.35
148,10-02-2019 23:00,55.91
149,11-02-2019 00:00,54.35
150,11-02-2019 01:00,59.23
151,11-02-2019 02:00,64.06
152,11-02-2019 03:00,73.21
153,11-02-2019 04:00,72.42
154,11-02-2019 05:00,67.73
155,11-02-2019 06:00,66.53
156,11-02-2019 07:00,65.51
157,11-02-2019 08:00,65.67
158,11-02-2019 09:00,97.65
159,11-02-2019 10:00,114.81
160,11-02-2019 11:00,132.22
161,11-02-2019 12:00,108.33
